,34.15352947147399
SI,34.96133895972
IS,37.5129651399324
LU,35.459241141891
BE,31.954641256236
IT,35.392264331875
UK,31.8386597713349
AT,17.947646428986
CY,35.259452188342
MT,37.4681488564
BG,35.629441864749
LV,34.1568692523565
NL,39.88243164983
DE,34.7871516725
HR,34.71936129714999
CZ,33.476387365891
EE,35.1333228355288
PL,34.6376569472785
NO,27.831371336168
DK,36.91338828127
EU,33.283117759639
EL,37.3132547739133
PT,37.267338153116
FR,34.6225223446556
FI,36.3291193394426
SE,33.9741248714935
IE,28.6227395115119
RO,36.78252496827
HU,35.46979148910999
